Team 1 ID,Team 1 Score,Team 2 ID,Team 2 Score,Result
4991,16,5378,9,1
4431,16,5699,9,1
5095,16,5710,4,1
5306,16,5769,8,1
5306,16,5769,3,1
5110,7,5107,16,2
5110,4,5107,16,2
4411,16,5310,4,1
4411,13,5310,16,2
4411,16,5310,6,1
4991,16,4494,5,1
4991,9,4494,16,2
4991,12,4494,16,2
4494,16,5569,7,1
4494,16,5569,12,1
5641,14,4742,16,2
5641,16,4742,8,1
5641,13,4742,16,2
5108,16,5078,8,1
5108,16,5078,3,1
5058,16,5080,0,1
5058,16,5080,10,1
5752,7,5231,16,2
5752,10,5095,16,2
5652,16,4431,9,1
5231,16,5730,8,1
5231,16,5699,2,1
5144,16,5755,4,1
5144,16,5755,3,1
5135,16,5114,10,1
5135,16,5114,19,2
5135,16,5114,9,1
4991,16,4608,11,1
4991,16,4608,6,1
4991,16,5758,4,1
4991,16,5758,2,1
4608,16,5310,6,1
4608,16,5310,14,1
5153,14,5158,16,2
5153,16,5158,14,1
5153,16,5158,14,1
4991,17,4608,19,2
4991,16,4608,3,1
4991,11,4608,16,2
4991,16,4608,14,1
5154,9,5153,16,2
5154,4,5153,16,2
4608,5,5310,16,2
4608,16,5310,11,1
4608,16,5310,8,1
5310,16,5758,8,1
5310,16,5758,8,1
5671,11,5652,16,2
5543,16,5095,7,1
5671,16,5454,9,1
5231,16,5700,8,1
4411,9,5378,16,2
4411,1,5378,16,2
4411,16,5378,11,1
4411,19,5378,16,1
4411,13,5378,16,2
5752,6,5231,16,2
5700,16,5086,10,1
5086,11,5543,16,2
5617,16,5772,13,1
5617,17,5772,21,2
5617,16,5772,8,1
5342,19,5623,21,2
5342,16,5623,10,1
5342,16,5623,0,1
5652,16,5699,11,1
5378,16,5310,3,1
5086,16,5454,9,1
5422,11,4674,16,2
4991,16,5284,12,1
4411,16,4456,12,1
5137,16,5108,5,1
5103,16,5058,13,1
5378,16,5422,11,1
4991,16,4456,10,1
5111,16,5135,14,1
4411,16,5284,11,1
5752,16,5543,3,1
5284,16,4759,14,1
5752,16,5700,11,1
5141,16,5102,10,1
5422,5,5378,16,2
5144,16,5117,7,1
5086,16,5454,7,1
5231,16,5714,10,1
4991,16,5378,10,1
4674,16,5310,11,1
5543,16,5652,10,1
5593,16,5623,10,1
5593,16,5623,9,1
5231,16,5554,12,1
5231,16,5095,12,1
5700,16,5095,11,1
5593,23,5640,26,2
5593,16,5640,10,1
5593,13,5640,16,2
5195,16,4494,13,1
5195,14,4494,16,2
5195,16,4494,12,1
4494,16,5009,6,1
4494,16,5009,8,1
5195,16,5653,12,1
5195,16,5653,5,1
5284,16,4759,1,1
5139,16,5134,10,1
4759,5,5378,16,2
5378,12,4759,16,2
5115,10,5109,16,2
5284,16,4456,13,1
4456,8,5284,16,2
5543,8,5086,16,2
5136,16,5143,10,1
5378,14,4991,16,2
5378,3,4991,16,2
5378,7,4991,16,2
5079,1,5141,16,2
5378,16,4456,9,1
5700,16,5752,10,1
5058,14,5117,14,2
5142,16,5107,4,1
4991,16,4494,1,1
4991,16,4494,6,1
5700,16,5454,8,1
5700,16,5454,12,1
4411,0,4991,16,2
4411,7,4991,16,2
5775,6,5543,16,2
5775,8,5543,16,2
5231,16,5652,10,1
5231,16,5652,10,1
4456,16,4494,0,1
5284,16,5378,3,1
5422,31,5310,28,1
5378,14,4991,16,2
5284,16,4456,4,1
5554,16,5454,12,1
5086,7,5700,16,2
4411,16,4674,5,1
4411,16,5310,2,1
5752,16,5671,3,1
5378,16,5758,13,1
5378,16,5758,3,1
4674,17,5284,21,2
4991,16,5284,4,1
5058,7,5115,16,2
5133,16,5113,1,1
5231,16,5652,10,1
5780,16,5781,3,1
5752,16,5543,6,1
5378,26,4456,22,1
4674,16,5778,4,1
4674,9,5778,16,2
4674,16,5778,6,1
4456,16,5779,8,1
4456,16,5779,8,1
4494,16,4548,6,1
4494,15,4548,19,2
4494,16,4548,10,1
4863,16,5785,7,1
5786,5,5784,16,2
5775,16,5671,6,1
5752,16,5543,9,1
